SIMSEC,NO,POS,SPEED,VEHTYPE,COORDFRONTX,COORDFRONTY,COORDFRONTZ
0.9,1,0.96,63.47,640,-580.151,1491.394,0
1,1,2.72,63.47,640,-581.651,1492.321,0
1.1,1,4.48,63.47,640,-583.151,1493.248,0
1.2,1,6.25,63.47,640,-584.651,1494.175,0
1.3,1,8.01,63.47,640,-586.15,1495.101,0
1.4,1,9.77,63.47,640,-587.65,1496.028,0
1.5,1,11.54,63.47,640,-589.15,1496.955,0
1.6,1,13.3,63.47,640,-590.649,1497.882,0
1.7,1,15.06,63.47,640,-592.149,1498.809,0
1.8,1,16.83,63.47,640,-593.649,1499.735,0
1.9,1,18.59,63.47,640,-595.149,1500.662,0
2,1,20.35,63.47,640,-596.648,1501.589,0
2.1,1,22.11,63.47,640,-598.148,1502.516,0
2.2,1,23.88,63.47,640,-599.648,1503.443,0
2.2,2,0.57,47.67,650,-581.662,1488.213,0
2.3,1,25.64,63.47,640,-601.148,1504.37,0
2.3,2,1.9,47.67,650,-582.788,1488.909,0
2.4,1,27.4,63.47,640,-602.647,1505.296,0
2.4,2,3.22,47.67,650,-583.915,1489.605,0
2.5,1,29.17,63.47,640,-604.147,1506.223,0
2.5,2,4.54,47.67,650,-585.041,1490.301,0
2.6,1,30.93,63.47,640,-605.647,1507.15,0
2.6,2,5.87,47.67,650,-586.167,1490.998,0
2.7,1,32.69,63.47,640,-607.146,1508.077,0
2.7,2,7.19,47.67,650,-587.294,1491.694,0
2.8,1,34.46,63.47,640,-608.646,1509.004,0
2.8,2,8.52,47.67,650,-588.42,1492.39,0
2.9,1,36.22,63.47,640,-610.146,1509.93,0
2.9,2,9.84,47.67,650,-589.546,1493.086,0
3,1,37.98,63.47,640,-611.646,1510.857,0
3,2,11.16,47.67,650,-590.673,1493.782,0
3.1,1,39.74,63.47,640,-613.145,1511.784,0
3.1,2,12.49,47.67,650,-591.799,1494.478,0
3.2,1,41.51,63.47,640,-614.645,1512.711,0
3.2,2,13.81,47.67,650,-592.925,1495.174,0
3.3,1,43.27,63.47,640,-616.145,1513.638,0
3.3,2,15.14,47.67,650,-594.052,1495.87,0
3.4,1,45.03,63.47,640,-617.645,1514.564,0
3.4,2,16.46,47.67,650,-595.178,1496.566,0
3.5,1,46.8,63.47,640,-619.144,1515.491,0
3.5,2,17.78,47.67,650,-596.304,1497.262,0
3.6,1,48.56,63.47,640,-620.644,1516.418,0
3.6,2,19.11,47.67,650,-597.431,1497.958,0
3.7,1,50.32,63.47,640,-622.144,1517.345,0
3.7,2,20.43,47.67,650,-598.557,1498.654,0
3.8,1,52.09,63.47,640,-623.643,1518.272,0
3.8,2,21.76,47.67,650,-599.683,1499.35,0
3.8,3,1.08,55.8,640,-580.258,1491.46,0
3.9,1,53.85,63.47,640,-625.143,1519.199,0
3.9,2,23.08,47.67,650,-600.81,1500.046,0
3.9,3,2.63,55.8,640,-581.577,1492.275,0
4,1,55.61,63.47,640,-626.643,1520.125,0
4,2,24.4,47.67,650,-601.936,1500.742,0
4,3,4.18,55.8,640,-582.895,1493.09,0
4.1,1,57.37,63.47,640,-628.143,1521.052,0
4.1,2,25.73,47.67,650,-603.062,1501.438,0
4.1,3,5.73,55.8,640,-584.214,1493.905,0
4.2,1,59.14,63.47,640,-629.642,1521.979,0
4.2,2,27.05,47.67,650,-604.189,1502.134,0
4.2,3,7.28,55.8,640,-585.532,1494.719,0
4.3,1,60.9,63.47,640,-631.142,1522.906,0
4.3,2,28.38,47.67,650,-605.315,1502.83,0
4.3,3,8.83,55.8,640,-586.85,1495.534,0
4.4,1,62.66,63.47,640,-632.642,1523.833,0
4.4,2,29.7,47.67,650,-606.441,1503.527,0
4.4,3,10.38,55.8,640,-588.169,1496.349,0
4.5,1,64.43,63.47,640,-634.209,1524.65,0
4.5,2,31.02,47.67,650,-607.568,1504.223,0
4.5,3,11.93,55.8,640,-589.487,1497.164,0
4.6,1,66.19,63.47,640,-635.772,1525.473,0
4.6,2,32.35,47.67,650,-608.694,1504.919,0
4.6,3,13.48,55.8,640,-590.806,1497.979,0
4.7,1,67.95,63.47,640,-637.335,1526.299,0
4.7,2,33.67,47.67,650,-609.82,1505.615,0
4.7,3,15.03,55.8,640,-592.124,1498.793,0
4.8,1,69.72,63.47,640,-638.896,1527.126,0
4.8,2,35,47.67,650,-610.947,1506.311,0
4.8,3,16.58,55.8,640,-593.443,1499.608,0
4.9,1,71.48,63.47,640,-640.457,1527.953,0
4.9,2,36.32,47.67,650,-612.073,1507.007,0
4.9,3,18.13,55.8,640,-594.761,1500.423,0
5,1,73.24,63.47,640,-642.018,1528.78,0
5,2,37.64,47.67,650,-613.199,1507.703,0
5,3,19.68,55.8,640,-596.08,1501.238,0
